epsiode_no,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
1,8.39999999999991,0.0,0.0,33.3550677614,0.0,0.0,0.0,0.0,0.0,0.833566228529,0.0,0.0,0.0,0,0,0,0,11.8256739791
1,8.459999999999908,0.0,0.0,33.3873867686,0.0,0.0,0.0,0.0,0.0,0.244060616045,0.0,0.0,0.0,0,0,0,0,11.7735956436
1,8.519999999999907,0.0,0.0,33.3843800256,0.0,0.0,0.0,0.0,0.0,-0.344260757987,0.0,0.0,0.0,0,0,0,0,11.7632799756
1,8.579999999999906,0.0,0.0,33.3460575395,0.0,0.0,0.0,0.0,0.0,-0.933431982328,0.0,0.0,0.0,0,0,0,0,11.7945573948
1,8.639999999999905,0.0,0.0,33.3600087868,0.0,0.0,0.0,0.0,0.0,1.39876357479,0.0,0.0,0.0,14,14,14,14,11.8139836647
1,8.699999999999903,0.0,0.0,33.426139607,0.0,0.0,0.0,0.0,0.0,0.806216296207,0.0,0.0,0.0,0,0,0,0,11.7412804495
1,8.759999999999902,0.0,0.0,33.4568210371,0.0,0.0,0.0,0.0,0.0,0.216810588662,0.0,0.0,0.0,0,0,0,0,11.6914916454
1,8.8199999999999,0.0,0.0,33.4521798764,0.0,0.0,0.0,0.0,0.0,-0.371505258693,0.0,0.0,0.0,0,0,0,0,11.6831585146
1,8.8799999999999,0.0,0.0,33.4122204809,0.0,0.0,0.0,0.0,0.0,-0.960765113427,0.0,0.0,0.0,0,0,0,0,11.7161396068
1,8.939999999999898,0.0,0.0,33.4245292795,0.0,0.0,0.0,0.0,0.0,1.37140499934,0.0,0.0,0.0,14,14,14,14,11.7373613599
1,8.999999999999897,0.0,0.0,33.4890247169,0.0,0.0,0.0,0.0,0.0,0.779047835915,0.0,0.0,0.0,0,0,0,0,11.6670410764
1,9.059999999999896,0.0,0.0,33.5180793056,0.0,0.0,0.0,0.0,0.0,0.189737043832,0.0,0.0,0.0,0,0,0,0,11.6194605475
1,9.119999999999894,0.0,0.0,33.5118141829,0.0,0.0,0.0,0.0,0.0,-0.398577628039,0.0,0.0,0.0,0,0,0,0,11.613065646
1,9.179999999999893,0.0,0.0,33.4702280906,0.0,0.0,0.0,0.0,0.0,-0.987929878272,0.0,0.0,0.0,0,0,0,0,11.6477423999
1,9.239999999999892,0.0,0.0,33.4809044272,0.0,0.0,0.0,0.0,0.0,1.34421059703,0.0,0.0,0.0,14,14,14,14,11.6707422449
1,9.29999999999989,0.0,0.0,33.5437741654,0.0,0.0,0.0,0.0,0.0,0.752038088781,0.0,0.0,0.0,0,0,0,0,11.6027105896
1,9.35999999999989,0.0,0.0,33.5712112879,0.0,0.0,0.0,0.0,0.0,0.162817382528,0.0,0.0,0.0,0,0,0,0,11.5572647897
